Token_Category	Token
int		int
ID		main
SYMBOL		(
SYMBOL		)
SYMBOL		{
int		int
ID		a
SYMBOL		=
NUM		10
SYMBOL		;
int		int
ID		b
SYMBOL		=
NUM		20
SYMBOL		;
int		int
ID		sum
ID		result
SYMBOL		=
ID		a
SYMBOL		+
ID		b
SYMBOL		;
read		read
SYMBOL		(
ID		a
SYMBOL		)
SYMBOL		;
if		if
SYMBOL		(
ID		sum
ID		result
OP		>=
NUM		30
SYMBOL		)
SYMBOL		{
write		write
SYMBOL		(
ID		sum
ID		result
SYMBOL		)
SYMBOL		;
SYMBOL		}
else		else
SYMBOL		{
while		while
SYMBOL		(
ID		a
SYMBOL		<
ID		b
SYMBOL		)
SYMBOL		{
ID		a
SYMBOL		=
ID		a
SYMBOL		+
NUM		1
SYMBOL		;
if		if
SYMBOL		(
ID		a
OP		==
NUM		15
SYMBOL		)
SYMBOL		{
continue		continue
SYMBOL		;
SYMBOL		}
if		if
SYMBOL		(
ID		a
OP		!=
NUM		20
SYMBOL		)
SYMBOL		{
break		break
SYMBOL		;
SYMBOL		}
SYMBOL		}
SYMBOL		}
return		return
NUM		0
SYMBOL		;
SYMBOL		}
